LanePointX,LanePointY
-1.381014,-1.650000
-1.113241,-1.650000
-0.854754,-1.650000
-0.574011,-1.650000
-0.318102,-1.650000
-0.035825,-1.650000
0.229123,-1.650000
0.507687,-1.650000
0.796674,-1.650000
1.050602,-1.650000
1.307753,-1.650000
1.566873,-1.650000
1.825956,-1.650000
2.085963,-1.650000
2.346511,-1.650000
2.606411,-1.650000
2.866118,-1.650000
3.125230,-1.650000
3.383631,-1.650000
3.641639,-1.650000
3.899115,-1.650000
4.156949,-1.650000
4.417711,-1.650000
4.685393,-1.650000
4.962548,-1.650000
5.252524,-1.650000
5.506004,-1.650000
5.770322,-1.650000
6.045294,-1.650000
6.331420,-1.650000
6.628258,-1.650000
6.936051,-1.650000
7.189809,-1.650000
7.450828,-1.650000
7.718823,-1.650000
7.993926,-1.650000
8.274897,-1.650000
8.563284,-1.650000
8.856629,-1.650000
9.155999,-1.650000
9.458958,-1.650000
9.767161,-1.650000
10.080127,-1.650000
10.396882,-1.650000
10.716998,-1.650000
11.041321,-1.650000
11.367066,-1.650000
11.694394,-1.650000
12.023044,-1.650000
12.352569,-1.650000
12.682292,-1.650000
13.012328,-1.650000
13.341523,-1.650000
13.671047,-1.650000
14.001373,-1.650000
14.334346,-1.650000
14.584899,-1.650000
14.838127,-1.650000
15.093566,-1.650000
15.351803,-1.650000
15.612881,-1.650000
15.878316,-1.650000
16.146415,-1.650000
16.418925,-1.650000
16.695143,-1.650000
16.975409,-1.650000
17.259635,-1.650000
17.547747,-1.650000
17.839755,-1.650000
18.135641,-1.650000
18.435112,-1.650000
18.739186,-1.650000
19.045875,-1.650000
19.358418,-1.650000
19.673221,-1.650000
19.992197,-1.650000
20.315246,-1.650000
20.641603,-1.650000
20.972896,-1.650000
21.306976,-1.650000
21.645800,-1.650000
21.988144,-1.650000
22.334142,-1.650000
22.684309,-1.650000
23.038410,-1.650000
23.396858,-1.650000
23.758122,-1.650000
24.122406,-1.650000
24.489135,-1.649919
24.859000,-1.649869
25.230741,-1.650019
25.607047,-1.650361
25.856874,-1.650658
26.108782,-1.651122
26.362080,-1.651787
26.615096,-1.652658
26.869538,-1.653706
27.124886,-1.654923
27.379794,-1.656412
27.635785,-1.658217
27.891869,-1.660342
28.148086,-1.662752
28.404058,-1.665435
28.660928,-1.668513
28.917596,-1.672010
29.174998,-1.675951
29.431807,-1.680279
29.688327,-1.684989
29.944337,-1.690186
30.200630,-1.695921
30.456691,-1.702194
30.711986,-1.708954
30.967154,-1.716205
31.222575,-1.724067
31.477809,-1.732564
31.732492,-1.741691
31.986867,-1.751420
32.241290,-1.761751
32.495174,-1.772771
32.748585,-1.784512
33.002805,-1.797047
33.256139,-1.810257
33.508977,-1.824146
33.761320,-1.838821
34.013135,-1.854310
34.265964,-1.870720
34.517657,-1.887879
34.769081,-1.905826
35.019861,-1.924643
35.271770,-1.944499
35.522669,-1.965240
35.772865,-1.986846
36.022340,-2.009297
36.273028,-2.032882
36.522531,-2.057412
36.770674,-2.082867
37.020751,-2.109551
37.268236,-2.136971
37.516612,-2.165611
37.765142,-2.195432
38.012723,-2.226308
38.259970,-2.258274
38.506193,-2.291221
38.751774,-2.325303
38.998061,-2.360742
39.244610,-2.397496
39.489912,-2.435302
39.734611,-2.474234
39.977743,-2.514238
40.222383,-2.555855
40.466419,-2.598749
40.708436,-2.642620
40.952008,-2.688099
41.192941,-2.734516
41.435267,-2.782670
41.676248,-2.832038
41.916855,-2.882769
42.157212,-2.934878
42.396052,-2.988194
42.635369,-3.043191
42.874765,-3.099801
43.111829,-3.157444
43.350290,-3.216932
43.586070,-3.277356
43.822235,-3.339546
44.058734,-3.403524
44.293846,-3.468831
44.527455,-3.535355
44.760927,-3.603549
44.994568,-3.673554
45.227485,-3.745124
