LanePointX,LanePointY
-1.246248,1.65
-1.046158,1.65
-0.845271,1.65
-0.645314,1.65
-0.446058,1.65
-0.245958,1.65
-0.045963,1.65
0.15355,1.65
0.353803,1.65
0.553736,1.65
0.75343,1.65
0.954951,1.65
1.154922,1.65
1.35331,1.65
1.553902,1.65
4.753655,1.65
4.953216,1.65
5.153135,1.65
5.354003,1.65
5.553264,1.65
5.752825,1.65
5.953597,1.65
6.153568,1.65
6.353616,1.65
6.552595,1.65
6.754426,1.65
6.95361,1.65
7.15361,1.65
7.354225,1.65
7.553533,1.65
10.753402,1.65
10.952896,1.65
11.153687,1.65
11.353048,1.65
11.553015,1.65
11.75341,1.65
11.953405,1.65
12.153415,1.65
12.354249,1.65
12.554211,1.65
12.754191,1.65
12.953366,1.65
13.153328,1.65
13.353399,1.65
13.553347,1.65
16.753172,1.65
16.953143,1.65
17.153186,1.65
17.353014,1.65
17.553467,1.65
17.753481,1.65
17.952327,1.65
18.153128,1.65
18.353261,1.65
18.553246,1.65
18.753299,1.65
18.953303,1.65
19.153274,1.65
19.352721,1.65
19.553012,1.65
22.752923,1.65
22.952904,1.65
23.152427,1.65
23.352899,1.65
23.552884,1.65
23.752579,1.65
23.952888,1.65
24.15286,1.65
24.352502,1.65
24.553398,1.65
24.753422,1.65
24.953402,1.65
25.152048,1.65
25.352801,1.65
25.552787,1.65
28.752421,1.65
28.952736,1.65
29.152678,1.65
29.352325,1.65
29.552106,1.65
29.753193,1.65
29.951948,1.65
30.151905,1.65
30.352301,1.65
30.552281,1.65
30.751771,1.65
30.952734,1.65
31.152314,1.65
31.352271,1.65
31.552256,1.65
34.751972,1.65
34.952525,1.65
35.152148,1.65
35.351581,1.65
35.55241,1.65
35.75209,1.65
35.952066,1.65
36.151656,1.65
36.352171,1.65
36.551727,1.65
36.752514,1.65
36.952099,1.65
37.151736,1.65
37.352027,1.65
37.55289,1.65
40.7523,1.650093
40.952665,1.650152
41.153018,1.650201
41.353412,1.65023
41.55375,1.650229
41.754134,1.650191
41.954686,1.65011
42.155154,1.649983
42.355166,1.649806
42.556323,1.649612
42.757098,1.649381
42.957175,1.649097
43.158411,1.648743
43.359804,1.648308
43.55978,1.647786
46.781408,1.62322
46.98406,1.620376
47.185907,1.617347
47.387825,1.614112
47.58891,1.610674
47.790816,1.607
47.99284,1.603094
48.194626,1.598958
48.396997,1.594571
48.599101,1.589985
48.800822,1.585182
49.004269,1.580093
49.205037,1.574814
49.407586,1.569219
49.611379,1.563309
52.85346,1.427202
53.056536,1.415758
53.25912,1.403956
53.462768,1.391693
53.665866,1.379055
53.869124,1.36599
54.072288,1.352508
54.274404,1.338671
54.478242,1.324286
54.680546,1.30961
54.885181,1.294345
55.088471,1.27874
55.290891,1.262752
55.494203,1.246232
55.697517,1.229238
58.950092,0.888808
59.152849,0.863009
59.35665,0.836493
59.559864,0.809454
59.762892,0.781833
59.966184,0.753561
60.169557,0.724655
60.371439,0.695337
60.575054,0.665136
60.777622,0.634491
60.980971,0.603108
61.182998,0.571291
61.385953,0.538677
61.590035,0.505211
61.791707,0.471464
65.024033,-0.165655
65.227274,-0.212133
65.426904,-0.258583
65.627302,-0.306015
65.82915,-0.354613
66.030025,-0.40381
66.229367,-0.453466
66.430648,-0.504446
66.630745,-0.555978
66.830889,-0.608339
67.030704,-0.661453
67.231671,-0.715735
67.431295,-0.770533
67.629722,-0.825886
67.829278,-0.882449
70.986348,-1.904082
71.181537,-1.975573
71.376669,-2.048085
71.571685,-2.12161
71.765679,-2.195818
71.959713,-2.271117
72.153416,-2.347374
72.346793,-2.424596
72.539514,-2.502656
72.732466,-2.581891
72.924815,-2.66198
73.116526,-2.742917
73.308786,-2.825217
73.49966,-2.908066
73.691171,-2.992342
76.682204,-4.467732
76.864715,-4.56795
77.047146,-4.669353
77.228953,-4.771647
77.410259,-4.874897
77.590946,-4.979037
77.7711,-5.084116
77.950421,-5.189956
78.129612,-5.296971
78.30816,-5.404861
78.485923,-5.513537
78.66357,-5.623407
78.840224,-5.733933
79.01698,-5.845799
79.193015,-5.958492
81.91986,-7.878259
82.085146,-8.005849
82.249941,-8.134429
82.413404,-8.263338
82.576175,-8.393071
82.738583,-8.523892
82.900432,-8.65565
83.062016,-8.788588
83.2221,-8.921692
83.381109,-9.055299
83.54019,-9.19037
83.698445,-9.326156
83.855868,-9.462649
84.012904,-9.600235
84.169237,-9.738643
86.567539,-12.057942
86.710951,-12.20939
86.852825,-12.360776
86.995386,-12.514472
87.1361,-12.667769
87.276586,-12.822412
87.416171,-12.977674
87.553989,-13.132576
87.69245,-13.289823
87.829485,-13.447091
87.96583,-13.605213
88.100844,-13.763441
88.236073,-13.923587
88.369387,-14.083141
88.502268,-14.243856
90.512082,-16.904722
90.630741,-17.077164
90.748458,-17.250157
90.864644,-17.4228
90.979082,-17.594718
91.093989,-17.769218
91.20771,-17.943815
91.319746,-18.117705
91.431864,-18.293615
91.543001,-18.469897
91.65293,-18.646179
91.762839,-18.824428
91.869845,-18.999927
91.977426,-19.178303
92.084061,-19.357058
93.670087,-22.270395
93.761178,-22.453976
93.852284,-22.639596
93.942704,-22.825825
94.032476,-23.012719
94.120997,-23.19899
94.208838,-23.385798
94.296168,-23.573495
94.382527,-23.761085
94.46784,-23.948379
94.55268,-24.136613
94.637055,-24.325909
94.719896,-24.513811
94.802981,-24.704302
94.884639,-24.893543
96.093185,-27.955449
96.162367,-28.14741
96.231726,-28.341938
96.299969,-28.535391
96.367187,-28.727946
96.434285,-28.922154
96.500623,-29.116156
96.566337,-29.310316
96.631453,-29.504696
96.69596,-29.699246
96.759868,-29.893985
96.823346,-30.089533
96.885951,-30.284471
96.947929,-30.479488
97.008968,-30.673538
97.915741,-33.812384
97.968085,-34.009859
98.019798,-34.206949
98.070856,-34.403472
98.121709,-34.601107
98.172154,-34.799037
98.221535,-34.994628
98.271337,-35.193717
98.320276,-35.391199
98.368431,-35.587319
98.416697,-35.7857
98.464124,-35.982607
98.511259,-36.180195
98.557978,-36.377885
98.604273,-36.575576
99.294241,-39.744379
99.334479,-39.942703
99.374445,-40.141294
99.413829,-40.338507
99.453309,-40.537666
99.492208,-40.735311
99.53085,-40.933009
99.569526,-41.132228
99.607662,-41.329985
99.645745,-41.52877
99.683424,-41.726728
99.721087,-41.926087
99.75813,-42.123542
99.795063,-42.321687
99.831904,-42.520567
100.393635,-45.689826
100.427234,-45.886607
100.46071,-46.083439
100.494527,-46.282943
100.527736,-46.479445
100.561261,-46.678339
100.594483,-46.875895
100.627423,-47.072187
100.660636,-47.270481
100.693647,-47.467925
100.726572,-47.665172
100.759503,-47.862921
100.792333,-48.060435
100.825123,-48.258009
100.857866,-48.455541
101.379337,-51.611935
101.412043,-51.810059
101.444609,-52.007336
101.477221,-52.204891
101.509757,-52.401985
101.542341,-52.599371
101.574836,-52.796215
101.607773,-52.995746
101.640057,-53.191311
101.672605,-53.388485
101.705222,-53.586073
101.737771,-53.783247
101.77021,-53.979757
101.802963,-54.178169
101.835537,-54.375493
102.356594,-57.531956
102.389208,-57.729526
102.421699,-57.926347
102.454418,-58.124551
102.48684,-58.321188
102.519243,-58.517823
102.551787,-58.715333
102.584252,-58.912302
102.616701,-59.10905
102.649259,-59.306275
102.6818,-59.503182
102.714302,-59.699587
102.746968,-59.896702
102.779535,-60.092913
102.812111,-60.289082
103.344636,-63.426299
103.379073,-63.622836
103.41342,-63.817888
103.448281,-64.014859
103.482665,-64.208344
103.517496,-64.403451
103.552487,-64.598454
103.587618,-64.793173
103.623019,-64.988246
103.658543,-65.182824
103.694316,-65.377546
103.730357,-65.572485
103.766591,-65.767199
103.80303,-65.961741
103.839599,-66.155904
104.45964,-69.252266
104.500837,-69.444744
104.542356,-69.63706
104.584313,-69.829725
104.626884,-70.023695
104.669324,-70.215472
104.7119,-70.406226
104.754993,-70.597614
104.798525,-70.78921
104.842412,-70.980598
104.886983,-71.173176
104.931698,-71.364564
104.976585,-71.55489
105.022008,-71.745692
105.068001,-71.937253
105.858248,-74.968719
105.911441,-75.156438
105.965193,-75.34419
106.019643,-75.53244
106.074229,-75.719368
106.129543,-75.906948
106.185248,-76.093958
106.241468,-76.280773
106.298229,-76.467439
106.355413,-76.653535
106.413069,-76.83921
106.471419,-77.025158
106.530713,-77.212132
106.590019,-77.397181
106.650067,-77.582596
113.114842,-90.668299
113.228274,-90.821994
113.343218,-90.976069
113.458416,-91.128823
113.573907,-91.280329
113.691761,-91.433297
113.808502,-91.583195
113.926775,-91.733464
114.046551,-91.884035
114.166522,-92.033251
114.287016,-92.18154
114.409328,-92.33049
114.531249,-92.477394
114.654266,-92.624074
114.777756,-92.769781
116.859572,-95.017749
116.99575,-95.152397
117.132605,-95.286323
117.269565,-95.41897
117.408067,-95.551735
117.546716,-95.683267
117.686241,-95.814269
117.827363,-95.945402
117.968234,-96.074943
118.108766,-96.202837
118.251481,-96.331383
118.394305,-96.458692
118.537854,-96.585321
118.681691,-96.710887
118.827277,-96.836661
121.230571,-98.734878
121.385142,-98.846289
121.541849,-98.958018
121.698296,-99.068339
121.855353,-99.177878
122.013005,-99.286623
122.17118,-99.394525
122.329903,-99.501603
122.489315,-99.607948
122.64899,-99.713278
122.809402,-99.817909
122.969939,-99.92144
123.131733,-100.024603
123.294615,-100.127277
123.455894,-100.22777
126.124102,-101.731795
126.295245,-101.818579
126.466439,-101.904277
126.638423,-101.989259
126.810196,-102.073033
126.98347,-102.156433
127.156432,-102.238579
127.329027,-102.319459
127.502899,-102.399847
127.677122,-102.479306
127.851433,-102.557717
128.026765,-102.635502
128.202205,-102.712248
128.377578,-102.787887
128.554176,-102.862974
142.71601,-105.775109
142.908418,-105.7758
143.099919,-105.775491
143.290694,-105.774197
143.482423,-105.771907
143.674732,-105.768614
143.86482,-105.76437
144.057134,-105.759088
144.248615,-105.752832
144.439199,-105.745618
144.631121,-105.737362
144.822377,-105.72814
145.013569,-105.717929
145.204482,-105.706742
145.395663,-105.694547
