LanePointX,LanePointY
-1.246248,-1.65
-1.046158,-1.65
-0.845271,-1.65
-0.645314,-1.65
-0.446058,-1.65
-0.245958,-1.65
-0.045963,-1.65
0.15355,-1.65
0.353803,-1.65
0.553736,-1.65
0.75343,-1.65
0.954951,-1.65
1.154922,-1.65
1.35331,-1.65
1.553902,-1.65
4.753655,-1.65
4.953216,-1.65
5.153135,-1.65
5.354003,-1.65
5.553264,-1.65
5.752825,-1.65
5.953597,-1.65
6.153568,-1.65
6.353616,-1.65
6.552595,-1.65
6.754426,-1.65
6.95361,-1.65
7.15361,-1.65
7.354225,-1.65
7.553533,-1.65
10.753402,-1.65
10.952896,-1.65
11.153687,-1.65
11.353048,-1.65
11.553015,-1.65
11.75341,-1.65
11.953405,-1.65
12.153415,-1.65
12.354249,-1.65
12.554211,-1.65
12.754191,-1.65
12.953366,-1.65
13.153328,-1.65
13.353399,-1.65
13.553347,-1.65
16.753172,-1.65
16.953143,-1.65
17.153186,-1.65
17.353014,-1.65
17.553467,-1.65
17.753481,-1.65
17.952327,-1.65
18.153128,-1.65
18.353261,-1.65
18.553246,-1.65
18.753299,-1.65
18.953303,-1.65
19.153274,-1.65
19.352721,-1.65
19.553012,-1.65
22.752923,-1.65
22.952904,-1.65
23.152427,-1.65
23.352899,-1.65
23.552884,-1.65
23.752579,-1.65
23.952888,-1.65
24.15286,-1.65
24.352502,-1.65
24.553398,-1.65
24.753422,-1.65
24.953402,-1.65
25.152048,-1.65
25.352801,-1.65
25.552787,-1.65
28.752421,-1.65
28.952736,-1.65
29.152678,-1.65
29.352325,-1.65
29.552106,-1.65
29.753193,-1.65
29.951948,-1.65
30.151905,-1.65
30.352301,-1.65
30.552281,-1.65
30.751771,-1.65
30.952734,-1.65
31.152314,-1.65
31.352271,-1.65
31.552256,-1.65
34.751972,-1.65
34.952525,-1.65
35.152148,-1.65
35.351581,-1.65
35.55241,-1.65
35.75209,-1.65
35.952066,-1.65
36.151656,-1.65
36.352171,-1.65
36.551727,-1.65
36.752514,-1.65
36.952099,-1.65
37.151736,-1.65
37.352027,-1.65
37.55289,-1.65
40.751556,-1.649907
40.951296,-1.649847
41.150914,-1.649798
41.350491,-1.649769
41.549952,-1.649769
41.749415,-1.649806
41.949015,-1.649885
42.148509,-1.65001
42.347533,-1.650185
42.547414,-1.650376
42.746706,-1.650603
42.945149,-1.650881
43.144628,-1.651228
43.344178,-1.651655
43.542264,-1.652167
46.721024,-1.676227
46.919973,-1.679002
47.118016,-1.681954
47.316047,-1.685108
47.513199,-1.688457
47.711114,-1.692037
47.909112,-1.695844
48.106854,-1.699875
48.305154,-1.70415
48.502911,-1.708613
48.700087,-1.713281
48.898796,-1.718221
49.094775,-1.723344
49.29241,-1.72877
49.491198,-1.734502
52.641371,-1.865975
52.837698,-1.876978
53.033436,-1.888318
53.230121,-1.900096
53.426214,-1.912232
53.622418,-1.924776
53.818501,-1.937718
54.01355,-1.951003
54.210244,-1.964814
54.405183,-1.978881
54.602162,-1.993496
54.797693,-2.008424
54.992276,-2.023709
55.187636,-2.039497
55.382937,-2.055734
58.495257,-2.379697
58.688298,-2.404129
58.882223,-2.429226
59.075508,-2.454807
59.268558,-2.480932
59.461817,-2.507667
59.655122,-2.535001
59.846988,-2.562723
60.040487,-2.591278
60.232719,-2.62021
60.425492,-2.649805
60.616863,-2.679784
60.809004,-2.710497
61.002131,-2.741998
61.19292,-2.773756
64.239121,-3.370949
64.429707,-3.414301
64.616798,-3.457603
64.804533,-3.501801
64.99357,-3.547073
65.181654,-3.592896
65.368275,-3.63914
65.556692,-3.686616
65.743985,-3.734603
65.931061,-3.78329
66.117636,-3.832621
66.305143,-3.882997
66.491291,-3.933822
66.676248,-3.98514
66.862202,-4.037566
69.793019,-4.980763
69.973329,-5.046442
70.153488,-5.11302
70.333466,-5.180501
70.512448,-5.248589
70.69143,-5.317665
70.870082,-5.387613
71.048413,-5.458441
71.22613,-5.530035
71.403892,-5.602635
71.580975,-5.675964
71.757382,-5.75003
71.934229,-5.825316
72.109755,-5.901085
72.285832,-5.978146
75.034974,-7.327213
75.202734,-7.418883
75.370422,-7.511641
75.537539,-7.605217
75.704198,-7.699673
75.870291,-7.794946
76.035896,-7.891083
76.200737,-7.987921
76.365461,-8.085837
76.529598,-8.184558
76.693014,-8.284002
76.856326,-8.384543
77.018728,-8.485687
77.181226,-8.588062
77.343064,-8.691198
79.850315,-10.448664
80.002311,-10.565497
80.153859,-10.68324
80.304184,-10.801288
80.453876,-10.920094
80.603237,-11.0399
80.752086,-11.160566
80.900693,-11.282317
81.047924,-11.404223
81.194169,-11.526593
81.340483,-11.650306
81.48604,-11.774678
81.630833,-11.8997
81.775275,-12.025727
81.919071,-12.15251
84.125428,-14.277423
84.257386,-14.416202
84.387933,-14.554928
84.519114,-14.695774
84.648599,-14.836256
84.777876,-14.977975
84.906328,-15.120263
85.033157,-15.262225
85.160581,-15.406339
85.286694,-15.550474
85.412177,-15.695394
85.536438,-15.840415
85.6609,-15.987196
85.783601,-16.133437
85.905908,-16.280745
87.756363,-18.720215
87.865878,-18.8787
87.974604,-19.03782
88.081976,-19.196711
88.187775,-19.355003
88.29404,-19.515725
88.399233,-19.676575
88.502885,-19.836802
88.606627,-19.998911
88.709471,-20.161378
88.811207,-20.323858
88.91306,-20.488387
89.012323,-20.650554
89.112194,-20.81551
89.211242,-20.980915
90.689638,-23.687054
90.774906,-23.85832
90.860274,-24.031672
90.945063,-24.205733
91.029291,-24.380519
91.112379,-24.554798
91.194854,-24.729636
91.276868,-24.905346
91.357984,-25.080988
91.438128,-25.256371
91.517835,-25.432652
91.597213,-25.610182
91.675225,-25.786595
91.753526,-25.965581
91.830524,-26.143497
92.974065,-29.032988
93.039798,-29.214914
93.105765,-29.399466
93.170718,-29.583145
93.234731,-29.766078
93.298656,-29.95066
93.361875,-30.135105
93.424513,-30.319742
93.486591,-30.504618
93.548096,-30.689678
93.609037,-30.874934
93.669647,-31.061224
93.729484,-31.247132
93.788765,-31.433261
93.84718,-31.618575
94.717921,-34.627212
94.76839,-34.817296
94.818302,-35.007211
94.867616,-35.196728
94.916759,-35.387427
94.965528,-35.578493
95.013282,-35.767359
95.061453,-35.959646
95.108797,-36.150411
95.155388,-36.339883
95.202089,-36.531555
95.248041,-36.722074
95.293754,-36.913453
95.339098,-37.105081
95.384054,-37.29682
96.056333,-40.381526
96.095699,-40.5754
96.134838,-40.769739
96.173434,-40.962882
96.212146,-41.158041
96.250304,-41.3518
96.28822,-41.54567
96.326178,-41.741075
96.363612,-41.935078
96.400998,-42.130112
96.437989,-42.324349
96.475015,-42.520238
96.511469,-42.714462
96.54784,-42.909516
96.584142,-43.105407
97.139561,-46.238461
97.172919,-46.433812
97.206189,-46.629418
97.239824,-46.827833
97.272872,-47.023377
97.306249,-47.221383
97.339334,-47.418119
97.372146,-47.61364
97.405234,-47.811186
97.438126,-48.007908
97.470933,-48.204449
97.503779,-48.40168
97.536546,-48.598818
97.569291,-48.796119
97.602003,-48.993456
98.1234,-52.14941
98.156107,-52.347534
98.188673,-52.544812
98.221285,-52.742367
98.253821,-52.939461
98.286405,-53.136847
98.3189,-53.333692
98.351838,-53.533223
98.384121,-53.728788
98.41667,-53.925962
98.449287,-54.12355
98.481835,-54.320724
98.514275,-54.517235
98.547028,-54.715646
98.579601,-54.912971
99.100659,-58.069434
99.133273,-58.267004
99.165763,-58.463825
99.198482,-58.662029
99.230949,-58.858934
99.263429,-59.056035
99.296075,-59.254162
99.32866,-59.451857
99.361242,-59.649411
99.393944,-59.847502
99.426637,-60.045317
99.459295,-60.24266
99.492122,-60.440737
99.524852,-60.637922
99.557637,-60.835342
100.096237,-64.007592
100.131206,-64.207099
100.166089,-64.405121
100.201497,-64.605107
100.236472,-64.801834
100.27194,-65.000415
100.3076,-65.199045
100.343425,-65.397499
100.37954,-65.596399
100.415794,-65.794854
100.45231,-65.993499
100.489107,-66.192398
100.526104,-66.39109
100.563313,-66.589623
100.600712,-66.788049
101.238053,-69.96737
101.28057,-70.165774
101.323426,-70.364034
101.366738,-70.562668
101.410749,-70.762931
101.454673,-70.961138
101.498774,-71.158441
101.54344,-71.356512
101.58858,-71.554881
101.634102,-71.753094
101.680346,-71.952584
101.726746,-72.150873
101.77333,-72.348083
101.820473,-72.545803
101.86828,-72.744587
102.693918,-75.905209
102.749715,-76.101683
102.806105,-76.298213
102.863231,-76.495281
102.920585,-76.69124
102.978771,-76.888086
103.037415,-77.084486
103.096637,-77.280793
103.156456,-77.477024
103.216739,-77.672716
103.277534,-77.868007
103.339071,-78.063615
103.401608,-78.260324
103.464165,-78.455024
103.527505,-78.650119
104.627431,-81.749979
104.702613,-81.943944
104.777798,-82.135833
104.853388,-82.326702
104.929997,-82.518101
105.007328,-82.709356
105.085025,-82.899534
105.164496,-83.092032
105.244016,-83.28259
105.324283,-83.472891
105.404799,-83.661739
105.486741,-83.851882
105.569096,-84.04093
105.652557,-84.230468
105.736575,-84.41923
107.189514,-87.398597
107.287086,-87.581321
107.386451,-87.765382
107.486038,-87.947837
107.586271,-88.129484
107.68685,-88.309859
107.789165,-88.491414
107.89183,-88.67163
107.995677,-88.85195
108.100564,-89.03209
108.206148,-89.211438
108.312488,-89.390089
108.419765,-89.568336
108.528441,-89.746928
108.637535,-89.924232
119.361804,-101.454751
119.530405,-101.575749
119.701334,-101.697088
119.871976,-101.816894
120.04328,-101.935847
120.215231,-102.053934
120.387749,-102.171102
120.560863,-102.28737
120.734726,-102.402839
120.908872,-102.517202
121.08382,-102.630802
121.258902,-102.743204
121.43535,-102.855202
121.612984,-102.966663
121.788867,-103.075755
124.698324,-104.707893
124.884919,-104.802031
125.071568,-104.894985
125.259075,-104.987159
125.446351,-105.078016
125.635259,-105.168464
125.823825,-105.257546
126.011989,-105.34525
126.201542,-105.432415
126.391476,-105.518568
126.581503,-105.60358
126.772641,-105.687906
126.963894,-105.771102
127.155072,-105.853091
127.347582,-105.934478
